date,BAC,SAN,CIT
2000-09-29,52.38,10.94,54.06
2000-10-02,53.06,10.88,55.38
2000-10-03,54.19,10.88,56.88
2000-10-04,52.75,10.75,54.75
2000-10-05,53.88,10.81,56.13
2000-10-06,51.62,10.62,53.5
2000-10-09,50.56,10.44,52.63
2000-10-10,48.69,10.56,51
2000-10-11,47.06,10.06,49.5
2000-10-12,44.56,9.69,46.75
2000-10-13,46.56,9.88,49.81
2000-10-16,45.19,9.75,50.81
2000-10-17,42.75,9.75,49.38
2000-10-18,42.19,9.5,49.56
2000-10-19,44.06,9.81,51.31
2000-10-20,43.75,9.81,50.94
2000-10-23,43.75,9.69,50.44
2000-10-24,44.5,9.88,51.69
2000-10-25,44.06,9.5,50.63
2000-10-26,43.38,9.44,49
2000-10-27,44.94,9.56,50.25
2000-10-30,47,9.56,51.56
2000-10-31,48.06,10.19,52.63
2000-11-01,48.38,9.81,51.69
2000-11-02,49.25,10.19,53.06
2000-11-03,48.69,10.25,53.94
2000-11-06,51.06,10.06,54.88
2000-11-07,50.69,10.12,54.75
2000-11-08,48.75,9.88,53.06
2000-11-09,49.75,9.75,52.69
2000-11-10,48.38,9.81,51.5
2000-11-13,47.44,9.69,50.5
2000-11-14,45.88,10.19,50.75
2000-11-15,42,10,50.19
2000-11-16,41.88,9.88,51.69
2000-11-17,40.31,9.5,51.11
2000-11-20,39.31,8.56,49.38
2000-11-21,39.62,8.69,49.13
2000-11-22,38.56,8.38,47.06
2000-11-24,39.31,8.94,47.31
2000-11-27,39.69,8.81,47.44
2000-11-28,40.5,8.75,47.63
2000-11-29,40.69,9.06,49.44
2000-11-30,39.94,8.75,49.81
2000-12-01,39.75,8.94,48.94
2000-12-04,39,8.81,47.81
2000-12-05,41.19,9.25,50.75
2000-12-06,38,9.25,49.75
2000-12-07,39,9.44,49.75
2000-12-08,40.88,9.56,51.5
2000-12-11,43.44,9.81,52.88
2000-12-12,43.44,9.75,52.63
2000-12-13,42.94,9.69,53
2000-12-14,42.31,9.62,50.75
2000-12-15,41.81,9.5,48.06
2000-12-18,43.5,9.31,49.38
2000-12-19,44.25,9.56,50.25
2000-12-20,42.75,9.19,48
2000-12-21,45.81,9.69,48.75
2000-12-22,46.12,10,50.06
2000-12-26,46.31,10,50.94
2000-12-27,46.81,10.12,50.88
2000-12-28,46.81,10.25,51.25
2000-12-29,45.88,10.56,51.06
2001-01-02,46.75,10.62,50.5
2001-01-03,49.94,11,54.94
2001-01-04,51.5,10.94,55.69
2001-01-05,48,11.25,53.69
2001-01-08,48.25,11.38,53.38
2001-01-09,47,11.25,52.19
2001-01-10,48.56,11.25,53.94
2001-01-11,49.44,11.44,55
2001-01-12,49.06,11.31,53.13
2001-01-16,50.94,11.44,54.69
2001-01-17,49.56,11.38,53.81
2001-01-18,48.94,11.94,54.25
2001-01-19,49.19,11.19,54.38
2001-01-22,50.38,11.06,53.88
2001-01-23,50.38,11.44,54.88
2001-01-24,51.06,11.44,55.81
2001-01-25,51.5,11.31,55.31
2001-01-26,53.19,11.56,55.19
2001-01-29,54.02,10.74,56.2
2001-01-30,55.47,10.71,56.2
2001-01-31,53.82,10.91,55.97
2001-02-01,53.28,11.28,56.11
2001-02-02,53.6,10.91,55.46
2001-02-05,53.26,11.04,56.3
2001-02-06,50.96,10.92,55.13
2001-02-07,49.5,11.06,54.36
2001-02-08,48.75,10.76,54.1
2001-02-09,49.5,10.77,54.05
2001-02-12,50.06,11.06,55.45
2001-02-13,50.24,10.97,54.59
2001-02-14,50.8,10.7,53.65
2001-02-15,50.89,10.74,54.07
2001-02-16,51.4,10.68,54
